OID,PARCELID,FDEM_ID,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,AHCA_OWNER,PROFIT,CAPACITY,BEDS,STATE_ID,EFCLASS,AHCA_NUM,CON1_TYPE,CON1_UP,CON1_DOWN,CON2_TYPE,CON2_UP,CON2_DOWN,CON3_TYPE,CON3_UP,CON3_DOWN,NET_CONS,WEBSITE,ACTYRBLT,FSOURCE,DATASOURCE,NOTES,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,DDLat,DDLon,ORIG_OID
85,1528630010R,,WEKIVA SPRINGS HOSPITAL,3947 SALISBURY RD,JACKSONVILLE,32216,DUVAL,904-296-3533,HOSPITALS - PSYCHIATRIC,WEKIVA SPRINGS CENTER LLC,PRIVATE,PRIVATE,UNIVERSAL HEALTH SERVICES INC,INVESTOR-OWNED,0,120,,EFHM,23960061.0, , , , , , , , , , ,HTTP://WWW.WEKIVACENTER.COM/,1987,GEOPLAN,FHA, ,30.25729423,-81.59441313,17RMP4281847446,53,9.74375269,WEKIVA SPRINGS HOSPITAL,V,2016-05-17,2017-09-06,85,30.25729423,-81.59441313,85
86,1525760150R,10224878.0,ST VINCENT'S MEDICAL CENTER SOUTHSIDE - FORMERLY ST LUKE'S HOSPITAL,4201 BELFORT RD,JACKSONVILLE,32216,DUVAL,904-296-3700,HOSPITALS - ACUTE CARE,ST LUKES ST VINCENTS HEALTHCAR,PRIVATE,PRIVATE,ST. VINCENT'S HEALTHCARE,NOT-FOR-PROFIT,0,311,FL000016,EFHL,23960088.0, , , , , , , , , ,4,HTTP://WWW.JAXHEALTH.COM/,1984,GEOPLAN,FDEM,ST. VINCENT'S MEDICAL CENTER SOUTHSIDE,30.25337659,-81.58227409,17RMP4398447005,54,80.16501771,ST VINCENT'S MEDICAL CENTER SOUTHSIDE - FORMERLY ST LUKE'S HOSPITAL,V,2016-05-17,2017-09-06,86,30.25337659,-81.58227409,86
87,1530500020R,10225090.0,SPECIALTY HOSPITAL - MEMORIAL HEALTH,4901 RICHARD ST,JACKSONVILLE,32207,DUVAL,904-737-3120,HOSPITALS - ACUTE CARE,MEMORIAL HEALTHCARE GROUP INC,PRIVATE,PRIVATE,HCA NORTH FLORIDA DIVISION,INVESTOR-OWNED,0,107,FL000240,EFHM,100196.0, , , , , , , , , , ,HTTP://WWW.SPECIALTYHOSPITALJAX.COM/,1971,GEOPLAN,FDEM, ,30.27181645,-81.61549418,17RMP4079949066,55,15.49550188,SPECIALTY HOSPITAL - MEMORIAL HEALTH,V,2011-05-10,2017-09-06,87,30.27181645,-81.61549418,87
88,1797600010R,10224884.0,BAPTIST MEDICAL CENTER BEACHES,1350 13TH AVE S,JACKSONVILLE BEACH,32250,DUVAL,904-627-2900,HOSPITALS - ACUTE CARE,BAPTIST MEDICAL CENTER OF THE,PRIVATE,PRIVATE,BAPTIST HEALTH,NOT-FOR-PROFIT,0,146,FL000022,EFHM,100117.0,OPTICAL FIBER,3 MBPS TO 6 MBPS,3 MBPS TO 6 MBPS, , , , , , ,2,HTTP://COMMUNITY.E-BAPTISTHEALTH.COM/BMC/BEACHES/INDEX.HTML,1988,GEOPLAN,FDEM, ,30.27376828,-81.39829183,17RMP6169149189,56,27.03744363,BAPTIST MEDICAL CENTER BEACHES,V,2012-11-19,2017-09-06,88,30.27376828,-81.39829183,88
89,1362880000R,10224882.0,MEMORIAL HOSPITAL OF JACKSONVILLE,3625 UNIVERSITY BLVD S,JACKSONVILLE,32216,DUVAL,904-399-6111,HOSPITALS - ACUTE CARE,MEMORIAL HEALTHCARE GROUP INC,PRIVATE,PRIVATE,HCA NORTH FLORIDA DIVISION,INVESTOR-OWNED,0,425,FL000020,EFHL,100179.0, , , ,OTHER COPPER WIRELINE,25 MBPS TO 50 MBPS,1.5 MBPS TO 3 MBPS,OTHER COPPER WIRELINE,25 MBPS TO 50 MBPS,25 MBPS TO 50 MBPS,4,HTTP://WWW.MEMORIALHOSPITALJAX.COM/,1969,GEOPLAN,FDEM, ,30.2885662,-81.60163336,17RMP4214250915,57,30.99965643,MEMORIAL HOSPITAL OF JACKSONVILLE,V,2011-05-10,2017-09-06,89,30.2885662,-81.60163336,89
90,32-2S-22-0049-0014-0020,10224900.0,ED FRASER MEMORIAL HOSPITAL,159 N THIRD ST,MACCLENNY,32063,BAKER,904-259-3151,HOSPITALS - ACUTE CARE,BAKER COUNTY,COUNTY,PUBLIC,"BAKER COUNTY MEDICAL SERVICES,",PUBLIC/GOVERNMENT,0,25,FL000038,EFHS,100134.0, , , , , , , , , , ,HTTP://WWW.BCMEDSVCS.COM/,0,GEOPLAN,FDEM,ED FRASER MEMORIAL HOSPITAL,30.2861058,-82.11901034,17RLP9238251019,58,9.26302995,ED FRASER MEMORIAL HOSPITAL,V,2016-05-17,2017-09-06,90,30.2861058,-82.11901034,90
91,1360390000R,10224881.0,RIVER POINT BEHAVIORAL HEALTH,6300 BEACH BLVD,JACKSONVILLE,32216,DUVAL,904-724-9202,HOSPITALS - PSYCHIATRIC,TBJ BEHAVIORAL CENTER LLC,PRIVATE,PRIVATE,UNIVERSAL HEALTH SERVICES INC,INVESTOR-OWNED,0,93,FL000019,EFHM,104016.0, , , , , , , , , , ,HTTP://WWW.TENBROECKJAX.COM/,1973,GEOPLAN,FDEM, ,30.29048,-81.59712102,17RMP4257751125,59,3.81910955,RIVER POINT BEHAVIORAL HEALTH,V,2016-05-17,2017-09-06,91,30.29048,-81.59712102,91
92,1363200000R,10224877.0,BROOKS REHABILITATION HOSPITAL,3599 UNIVERSITY BLVD S,JACKSONVILLE,32216,DUVAL,904-858-7600,HOSPITALS - REHABILITATION,GENESIS SUPPORT SYSTEMS INC,PRIVATE,PRIVATE,BROOKS HEALTH SYSTEM,NOT-FOR-PROFIT,0,157,FL000015,EFHL,100184.0, , , , , , , , , , ,HTTP://WWW.BROOKSHEALTH.ORG/,1994,GEOPLAN,FDEM, ,30.29045567,-81.60149941,17RMP4215651124,60,10.30944819,BROOKS REHABILITATION HOSPITAL,V,2011-05-10,2017-09-06,92,30.29045567,-81.60149941,92
94,0652020000R,10224880.0,ST VINCENT'S MEDICAL CENTER RIVERSIDE,1 SHIRCLIFF WAY,JACKSONVILLE,32204,DUVAL,904-308-7300,HOSPITALS - ACUTE CARE,ST VINCENTS HOSPITAL,PRIVATE,PRIVATE,ST. VINCENT'S HEALTHCARE,NOT-FOR-PROFIT,0,528,FL000018,EFHL,100040.0, , , ,OTHER COPPER WIRELINE,768 KBPS TO 1.5 KBPS, , , , ,4,HTTP://WWW.JAXHEALTH.COM/,1927,GEOPLAN,FDEM,ST VINCENT'S MEDICAL CENTER RIVERSIDE,30.30760944,-81.68982828,17RMP3367353073,62,31.71982187,ST VINCENT'S MEDICAL CENTER RIVERSIDE,V,2016-05-17,2017-09-06,94,30.30760944,-81.68982828,94
95,0810680700R,10224876.0,WOLFSON CHILDREN'S HOSPITAL - JACKSONVILLE,800 PRUDENTIAL DR,JACKSONVILLE,32207,DUVAL,904-202-8000,HOSPITALS - ACUTE CARE,SOUTHERN BAPTIST HOSPITAL OF F,PRIVATE,PRIVATE,BAPTIST HEALTH,NOT-FOR-PROFIT,0,205,FL000014,EFHL,100088.0, , , ,OPTICAL FIBER,3 MBPS TO 6 MBPS, ,OPTICAL FIBER,3 MBPS TO 6 MBPS,3 MBPS TO 6 MBPS,4,HTTP://WWW.WOLFSONCHILDRENS.ORG/PAGES/DEFAULT.ASPX,1987,GEOPLAN,FDEM,TWO HOSPITALS ON ONE PARCEL,30.31544434,-81.66451672,17RMP3611253927,63,33.23715037,WOLFSON CHILDREN'S HOSPITAL - JACKSONVILLE,V,2016-05-17,2017-09-06,95,30.31544434,-81.66451672,95
96,0547740150R,10225035.0,UF HEALTH JACKSONVILLE,655 W EIGHTH ST,JACKSONVILLE,32209,DUVAL,904-244-0411,HOSPITALS - ACUTE CARE,DUVAL COUNTY,COUNTY,PUBLIC,SHANDS HEALTHCARE,NOT-FOR-PROFIT,0,695,FL000155,EFHL,100001.0, , , ,OPTICAL FIBER,100 MBPS TO 1 GBPS, ,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS,3,HTTP://JAX.SHANDS.ORG/,1970,GEOPLAN,FDEM,RENAMED UF HEALTH JACKSONVILLE,30.34854577,-81.66395013,17RMP3618857595,64,65.53374177,UF HEALTH JACKSONVILLE,V,2016-05-17,2017-09-06,96,30.34854577,-81.66395013,96
98,00-00-31-1600-0203-0000,10225056.0,BAPTIST MEDICAL CENTER - NASSAU,1250 S 18TH ST,FERNANDINA BEACH,32034,NASSAU,904-321-3500,HOSPITALS - ACUTE CARE,BAPTIST MEDICAL CENTER OF,PRIVATE,PRIVATE,BAPTIST HEALTH,NOT-FOR-PROFIT,0,62,FL000176,EFHM,100140.0, , , ,DSL SYMMETRIC,10 MBPS TO 25 MBPS,6 MBPS TO 10 MBPS,CABLE MODEM,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS,3,HTTP://COMMUNITY.E-BAPTISTHEALTH.COM/BMC/NASSAU/INDEX.HTML,1978,GEOPLAN,FDEM, ,30.653380900000002,-81.44898253,17RMP5698391275,68,31.39567972,BAPTIST MEDICAL CENTER - NASSAU,V,2016-05-17,2017-09-06,98,30.653380900000002,-81.44898253,98
264,31-04-25-008075-900-00,,ST VINCENT'S MEDICAL CENTER CLAY,1670 ST VINCENT'S WAY,MIDDLEBURG,32068,CLAY,904-602-1000,HOSPITALS - ACUTE CARE,ST VINCENTS HEALTH SYSTEMS INC,PRIVATE,PRIVATE,ST VINCENT'S HEALTHCARE,NOT-FOR-PROFIT,0,64,,EFHM,23960117.0, , , , , , , , , , ,HTTP://WWW.JAXHEALTH.COM/LOCATIONS/HOSPITALS-PROFILE/?ID=67,2013,GEOPLAN,FHA,JUST ADDED,30.108902,-81.83277894,17RMP1976731145,362,33.38824904,ST VINCENT'S MEDICAL CENTER CLAY,V,2016-05-17,2017-09-06,242,30.108902,-81.83277894,240
320,1677361400R,,MAYO CLINIC,4500 SAN PABLO RD,JACKSONVILLE,32224,DUVAL,904-953-2000,HOSPITALS - ACUTE CARE,MAYO CLINIC FLORIDA,PRIVATE,PRIVATE,MAYO CLINIC FLORIDA,NOT-FOR-PROFIT,0,304,,EFHL,100151.0, , , ,OPTICAL FIBER,100 MBPS TO 1 GBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS,4,HTTP://WWW.MAYOCLINIC.ORG/MAYO-CLINIC-HOSPITAL-JAX/,1995,GEOPLAN,IMAGE RESEARCH, ,30.26418282,-81.44066892,17RMP5761148142,294,371.4190043,MAYO CLINIC,V,2016-05-17,2017-09-06,320,30.26418282,-81.44066892,320
330,0802795000R,,BAPTIST MEDICAL CENTER JACKSONVILLE,800 PRUDENTIAL DR,JACKSONVILLE,32207,DUVAL,904-567-4000,HOSPITALS - ACUTE CARE,SOUTHERN BAPTIST HOSPITAL OF F,PRIVATE,PRIVATE,BAPTIST HEALTH,NOT-FOR-PROFIT,0,486,,EFHL,, , , , , , , , , , ,HTTP://COMMUNITY.E-BAPTISTHEALTH.COM/BMC/DOWNTOWN/INDEX.HTML,2006,GEOPLAN,FHA,BAPTIST MEDICAL CENTER JACKSONVILLE,30.31521697,-81.66492315,17RMP3607353902,304,33.23715037,BAPTIST MEDICAL CENTER JACKSONVILLE,V,2016-05-17,2017-09-06,330,30.31521697,-81.66492315,330
