OID,PARCELID,FDEM_ID,NAME,ADDRESS,CITY,ZIPCODE,COUNTY,PHONE,TYPE,OWNER,OPERATING,OP_CLASS,AHCA_OWNER,PROFIT,CAPACITY,BEDS,STATE_ID,EFCLASS,AHCA_NUM,CON1_TYPE,CON1_UP,CON1_DOWN,CON2_TYPE,CON2_UP,CON2_DOWN,CON3_TYPE,CON3_UP,CON3_DOWN,NET_CONS,WEBSITE,ACTYRBLT,FSOURCE,DATASOURCE,NOTES,LAT_DD,LONG_DD,MGRS,GCID,ACRES,DESCRIPT,FLAG,UPDATE_DAY,FGDLAQDATE,AUTOID,DDLat,DDLon,ORIG_OID
14,02434431210010000,10225029,JFK MEDICAL CENTER,5301 S CONGRESS AVE,ATLANTIS,33462,PALM BEACH,561-965-7300,HOSPITALS - ACUTE CARE,JFK MEDICAL CENTER LTD PTNRSHP,PRIVATE,PRIVATE,HCA EAST FLORIDA DIVISION,INVESTOR-OWNED,0,472,FL000149,EFHL,100080, , , ,OTHER,50 MBPS TO 100 MBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,6 MBPS TO 10 MBPS,6 MBPS TO 10 MBPS,4,HTTP://JFKMC.COM/HOME/INDEX.DOT,1991,GEOPLAN,FDEM, ,26.59867065,-80.09147485,17RNK9046042307,158,20.38984301,JFK MEDICAL CENTER,V,2016-05-17,2017-09-06,14,26.59867065,-80.09147485,14
15,3044270000001005A,10224895,LEHIGH REGIONAL MEDICAL CENTER,1500 LEE BLVD,LEHIGH ACRES,33936,LEE,239-369-2101,HOSPITALS - ACUTE CARE,1550 LEE BLVD LLC,PRIVATE,PRIVATE,HEALTH MANAGEMENT ASSOCIATES,INVESTOR-OWNED,0,88,FL000033,EFHM,100107, , , , , , , , , , ,HTTP://WWW.LEHIGHREGIONAL.COM/,1969,GEOPLAN,FDEM, ,26.61542799,-81.65944602,17RMK3435144011,160,15.53540355,LEHIGH REGIONAL MEDICAL CENTER,V,2011-05-10,2017-09-06,15,26.61542799,-81.65944602,15
16,234424P3020130010,10225065,LEE MEMORIAL HEALTH SYSTEM,2776 CLEVELAND AVE,FORT MYERS,33901,LEE,239-343-2000,HOSPITALS - ACUTE CARE,LEE MEMORIAL HEALTH SYSTEM,PRIVATE,PRIVATE,LEE MEMORIAL HEALTH SYSTEM,PUBLIC/GOVERNMENT,0,411,FL000185,EFHL,100012,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS, , , , , , ,2,HTTP://WWW.LEEMEMORIAL.ORG/,1967,GEOPLAN,FDEM, ,26.628529,-81.8742157,17RMK1297945590,161,23.58850775,LEE MEMORIAL HEALTH SYSTEM,V,2016-05-17,2017-09-06,16,26.628529,-81.8742157,16
17,184424C3000020000,10225024,CAPE CORAL HOSPITAL,636 DEL PRADO BLVD,CAPE CORAL,33990,LEE,239-574-2323,HOSPITALS - ACUTE CARE,CAPE MEMORIAL HOSPITAL INC,PRIVATE,PRIVATE,LEE MEMORIAL HEALTH SYSTEM,PUBLIC/GOVERNMENT,0,291,FL000144,EFHL,100244,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS, , , , , , ,2,HTTP://WWW.LEEMEMORIAL.ORG/FACILITIES/CAPECORALHOSPITAL.ASP,1976,GEOPLAN,FDEM, ,26.63948902,-81.94199106,17RMK0624146852,162,43.29906414,CAPE CORAL HOSPITAL,V,2011-05-10,2017-09-06,17,26.63948902,-81.94199106,17
18,73424327050180204,10225106,WELLINGTON REGIONAL MEDICAL CENTER,10101 FOREST HILL BLVD,WEST PALM BEACH,33414,PALM BEACH,561-798-8500,HOSPITALS - ACUTE CARE,UNIVERSAL HEALTH REALTY INCOME,PRIVATE,PRIVATE,UNIVERSAL HEALTH SERVICES INC,INVESTOR-OWNED,0,233,FL000230,EFHL,110010, , , ,OTHER COPPER WIRELINE,3 MBPS TO 6 MBPS,200 KBPS TO 768 KBPS,DSL ASYMMETRIC,200 KBPS TO 768 KBPS,6 MBPS TO 10 MBPS,3,HTTP://WWW.WELLINGTONREGIONAL.COM/,1986,GEOPLAN,FDEM, ,26.65183121,-80.20509304,17RNK7911048119,163,56.66434532,WELLINGTON REGIONAL MEDICAL CENTER,V,2016-05-17,2017-09-06,18,26.65183121,-80.20509304,18
19,0940360000290,10224978,SOUTH MIAMI HOSPITAL,6200 SW 73RD ST,MIAMI,33143,MIAMI-DADE,786-662-4000,HOSPITALS - ACUTE CARE,SOUTH MIAMI HOSPITAL,PRIVATE,PRIVATE,BAPTIST HEALTH SOUTH FLORIDA,NOT-FOR-PROFIT,0,452,FL000213,EFHL,100154, , , ,OPTICAL FIBER,100 MBPS TO 1 GBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS,3,HTTP://WWW.BAPTISTHEALTH.NET,1958,GEOPLAN,FDEM, ,25.70148778,-80.29418306,17RNJ7081542815,164,17.80470338,SOUTH MIAMI HOSPITAL,V,2016-05-17,2017-09-06,19,25.70148778,-80.29418306,19
20,0940250270010,10224977,LARKIN COMMUNITY HOSPITAL,7031 SW 62ND AVE,SOUTH MIAMI,33143,MIAMI-DADE,305-284-7500,HOSPITALS - ACUTE CARE,LARKIN COMMUNITY HOSPITAL INC,PRIVATE,PRIVATE,"ORACLE HEALTH SYSTEMS, INC.",INVESTOR-OWNED,0,146,FL000212,EFHM,100181, , , ,OPTICAL FIBER,25 MBPS TO 50 MBPS,200 KBPS TO 768 KBPS,DSL ASYMMETRIC,200 KBPS TO 768 KBPS,3 MBPS TO 6 MBPS,3,HTTP://WWW.LARKINHOSPITAL.COM/,1968,GEOPLAN,FDEM, ,25.70549205,-80.29314337,17RNJ7091743259,165,4.42547764,LARKIN COMMUNITY HOSPITAL,V,2016-05-17,2017-09-06,20,25.70549205,-80.29314337,20
21,0341190030010,10225042,DOCTORS HOSPITAL - BAPTIST HEALTH SOUTH FLORIDA,5000 UNIVERSITY DR,CORAL GABLES,33146,MIAMI-DADE,786-308-3078,HOSPITALS - ACUTE CARE,DOCTORS HOSPITAL INC,PRIVATE,PRIVATE,BAPTIST HEALTH SOUTH FLORIDA,NOT-FOR-PROFIT,0,281,FL000162,EFHL,100020, , , ,DSL ASYMMETRIC,100 MBPS TO 1 GBPS,10 MBPS TO 25 MBPS,OTHER COPPER WIRELINE,100 MBPS TO 1 GBPS,100 MBPS TO 1 GBPS,3,HTTP://WWW.BAPTISTHEALTH.NET,1953,GEOPLAN,FDEM,DOCTORS HOSPITAL,25.72435666,-80.27401796,17RNJ7282545359,166,14.53627965,DOCTORS HOSPITAL - BAPTIST HEALTH SOUTH FLORIDA,V,2016-05-17,2017-09-06,21,25.72435666,-80.27401796,21
22,3049130000011,10224904,KENDALL REGIONAL MEDICAL CENTER,11750 BIRD RD,MIAMI,33175,MIAMI-DADE,305-223-3000,HOSPITALS - ACUTE CARE,COLUMBIA LAGRANGE HOSPITAL INC,PRIVATE,PRIVATE,HCA EAST FLORIDA DIVISION,INVESTOR-OWNED,0,417,FL000042,EFHL,100209, , , ,OPTICAL FIBER,50 MBPS TO 100 MBPS,10 MBPS TO 25 MBPS,OPTICAL FIBER,6 MBPS TO 10 MBPS,6 MBPS TO 10 MBPS,4,HTTP://WWW.KENDALLMED.COM/,1962,GEOPLAN,FDEM, ,25.73098453,-80.38535664,17RNJ6165246036,167,18.06707078,KENDALL REGIONAL MEDICAL CENTER,V,2016-05-17,2017-09-06,22,25.73098453,-80.38535664,22
23,3040140150010,10225091,WESTCHESTER GENERAL HOSPITAL,2500 SW 75TH AVE,MIAMI,33155,MIAMI-DADE,305-264-5252,HOSPITALS - ACUTE CARE,WESTCHESTER GENERAL HOSPITAL I,PRIVATE,PRIVATE,WESTCHESTER GENERAL HOSPITAL,INVESTOR-OWNED,0,125,FL000242,EFHM,100165,OPTICAL FIBER,6 MBPS TO 10 MBPS,10 MBPS TO 25 MBPS, , , , , , ,2,HTTP://WWW.WESTCHESTERHOSPITAL.COM/,1965,GEOPLAN,FDEM, ,25.74738649,-80.31757695,17RNJ6844247886,168,6.75018222,WESTCHESTER GENERAL HOSPITAL,V,2011-05-10,2017-09-06,23,25.74738649,-80.31757695,23
24,3040140270020,N/A,WEST GABLES REHABILITATION HOSPITAL,2525 SW 75TH AVE,MIAMI,33155,MIAMI-DADE,305-262-6800,HOSPITALS - REHABILITATION,FIELD WILLOW REAL ESTATE B V,PRIVATE,PRIVATE,WEST GABLES REHABILITATION HOS,INVESTOR-OWNED,0,60,N/A,EFHM,110041, , , , , , , , , , ,HTTP://WWW.REHABCARE.COM,1988,GEOPLAN,FHA, ,25.74707974,-80.31651416,17RNJ6854847853,169,4.95487409,WEST GABLES REHABILITATION HOSPITAL,V,2011-05-10,2017-09-06,24,25.74707974,-80.31651416,24
25,3040130090140,10224920,NICKLAUS CHILDREN'S HOPSPITAL - FORMERLY MIAMI CHILDREN'S HOSPITAL,3100 SW 62ND AVE,MIAMI,33155,MIAMI-DADE,305-666-6511,HOSPITALS - CHILDREN/ACUTE CARE,MIAMI CHILDRENS HOSPITAL,PRIVATE,PRIVATE,MIAMI CHILDREN'S HOSPITAL,NOT-FOR-PROFIT,0,289,FL000058,EFHL,110199,OTHER COPPER WIRELINE,100 MBPS TO 1 GBPS,GREATER THAN 1 GBPS, , , , , , ,2,HTTP://WWW.MCH.COM/,1951,GEOPLAN,FDEM,NICKLAUS CHILDREN'S HOSPITAL,25.74131096,-80.29441955,17RNJ7076847225,170,24.01572921,NICKLAUS CHILDREN'S HOPSPITAL - FORMERLY MIAMI CHILDREN'S HOSPITAL,V,2016-05-17,2017-09-06,25,25.74131096,-80.29441955,25
26,0341170059010,10225084,CORAL GABLES HOSPITAL,3100 DOUGLAS RD,CORAL GABLES,33134,MIAMI-DADE,305-445-8461,HOSPITALS - ACUTE CARE,RICHARD B SILVER TR,PRIVATE,PRIVATE,TENET HEALTHSYSTEM,INVESTOR-OWNED,0,245,FL000234,EFHL,100183, , , , , , , , , , ,HTTP://WWW.CORALGABLESHOSPITAL.COM,1959,GEOPLAN,FDEM, ,25.74359587,-80.2547048,17RNJ7475047500,171,3.15706796,CORAL GABLES HOSPITAL,V,2011-05-10,2017-09-06,26,25.74359587,-80.2547048,26
27,0141140270010,10224911,MERCY HOSPITAL,3663 S MIAMI AVE,MIAMI,33133,MIAMI-DADE,305-854-4400,HOSPITALS - ACUTE CARE,PLANTATION GENERAL HOSPITAL L,PRIVATE,PRIVATE,CATHOLIC HEALTH EAST,NOT-FOR-PROFIT,0,488,FL000049,EFHL,100061,OPTICAL FIBER,10 MBPS TO 25 MBPS,10 MBPS TO 25 MBPS, , , , , , ,2,HTTP://WWW.MERCYMIAMI.COM/,1947,GEOPLAN,FDEM,TWO HOSPITALS ON ONE PARCEL,25.74028384,-80.21407309,17RNJ7882747157,172,50.13490366,MERCY HOSPITAL,V,2016-05-17,2017-09-06,27,25.74028384,-80.21407309,27
28,0141140270010,N/A,SISTER EMMANUEL HOSPITAL,3663 S MIAMI AVE - 4TH FLOOR,MIAMI,33133,MIAMI-DADE,305-285-2939,HOSPITALS - ACUTE CARE,PLANTATION GENERAL HOSPITAL L,PRIVATE,PRIVATE,CATHOLIC HEALTH EAST,NOT-FOR-PROFIT,0,29,N/A,EFHS,23960044, , , , , , , , , , ,HTTP://WWW.MERCYMIAMI.ORG/SISTER-EMMANUEL-HOSPITAL/,1947,GEOPLAN,FHA,SISTER EMMANUEL HOSPITAL,25.74206875,-80.21655226,17RNJ7857847353,173,50.15268467,SISTER EMMANUEL HOSPITAL,V,2016-05-17,2017-09-06,28,25.74206875,-80.21655226,28
29,0341070240010,10224907,KINDRED HOSPITAL SOUTH FLORIDA - CORAL GABLES,5190 SW EIGHTH ST,CORAL GABLES,33134,MIAMI-DADE,305-448-1585,HOSPITALS - ACUTE CARE,VENTAS REALTY LTD PARTNERSHIP,PRIVATE,PRIVATE,KINDRED EAST REGION OFFICE,INVESTOR-OWNED,0,55,FL000045,EFHM,100152, , , , , , , , , , ,HTTP://WWW.KHCORALGABLES.COM/,1956,GEOPLAN,FDEM, ,25.76359248,-80.27882523,17RNJ7231949701,174,1.57453107,KINDRED HOSPITAL SOUTH FLORIDA - CORAL GABLES,V,2016-05-17,2017-09-06,29,25.76359248,-80.27882523,29
30,0130510040010,10224919,THE MIAMI MEDICAL CENTER,5959 NW SEVENTH ST,MIAMI,33126,MIAMI-DADE,305-264-1000,HOSPITALS - ACUTE CARE,METROPOLITAN HEALTH COMMUNITY,PRIVATE,PRIVATE,METROPOLITAN HEALTH COMMUNITY SERVICES,NOT-FOR-PROFIT,0,69,FL000057,EFHM,100076, , , , , , , , , , ,HTTP://WWW.MHMIAMI.COM,1962,GEOPLAN,FDEM,THE MIAMI MEDICAL CENTER,25.77834576,-80.29348787,17RNJ7083951327,175,4.16752974,THE MIAMI MEDICAL CENTER,V,2016-05-17,2017-09-06,30,25.77834576,-80.29348787,30
31,0141020410001,N/A,SELECT SPECIALTY HOSPITAL - MIAMI (VICTORIA CENTER),955 NW 3RD ST,MIAMI,33128,MIAMI-DADE,305-416-5700,HOSPITALS - ACUTE CARE,REFERENCE ONLY,PRIVATE,PRIVATE,SELECT MEDICAL CORPORATION,INVESTOR-OWNED,0,47,N/A,EFHS,23960028, , , , , , , , , , ,HTTP://WWW.SELECTSPECIALTYHOSPITALS.COM/,0,GEOPLAN,FHA, ,25.77700247,-80.21085036,17RNJ7912651226,176,2.49550176,SELECT SPECIALTY HOSPITAL - MIAMI (VICTORIA CENTER),V,2011-05-10,2017-09-06,31,25.77700247,-80.21085036,31
32,0131350000160,10225043,BRUCE W CARTER DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,1201 NW 16TH ST,MIAMI,33125,MIAMI-DADE,305-575-7000,HOSPITALS - FEDERAL,UNITED STATES OF AMERICA,FEDERAL,PUBLIC,FEDERAL GOVERNMENT,PUBLIC,0,372,FL000163,EFHL,N/A, , , , , , , , , , ,HTTP://WWW.MIAMI.VA.GOV/,1959,GEOPLAN,FDEM, ,25.79207176,-80.21614074,17RNJ7858652891,178,24.44874714,BRUCE W CARTER DEPARTMENT OF VETERANS AFFAIRS MEDICAL CENTER,V,2016-05-17,2017-09-06,32,25.79207176,-80.21614074,32
33,0131350380010,10224916,UNIVERSITY OF MIAMI HOSPITAL/SYLVESTER COMPREHENSIVE CANCER CENTER,1475 NW 12TH AVE,MIAMI,33136,MIAMI-DADE,305-243-1000,HOSPITALS - ACUTE CARE,UNIVERSITY OF MIAMI,PRIVATE,PRIVATE,UNIVERSITY OF MIAMI SPECIALTY HOSPITALS,NOT-FOR-PROFIT,0,40,FL000054,EFHS,100079, , , , , , , , , , ,HTTP://WWW.SYLVESTER.ORG/,0,GEOPLAN,FDEM, ,25.78893522,-80.21420897,17RNJ7878252545,179,16.7290822,UNIVERSITY OF MIAMI HOSPITAL/SYLVESTER COMPREHENSIVE CANCER CENTER,V,2012-11-15,2017-09-06,33,25.78893522,-80.21420897,33
34,0131350030030,10224912,JACKSON MEMORIAL HOSPITAL - RYDER TRAUMA CENTER - HOLTZ CHILDREN'S HOSPITAL - JACKSON REHAB HOSPITAL,1611 NW 12TH AVE,MIAMI,33136,MIAMI-DADE,305-585-1111,HOSPITALS - ACUTE CARE,UNIVERSITY OF MIAMI,PRIVATE,PRIVATE,JACKSON HEALTH SYSTEM,PUBLIC/GOVERNMENT,0,1254,FL000050,EFHL,100022, , , , , , , , , , ,HTTP://WWW.JHSMIAMI.ORG,1961,GEOPLAN,FDEM,JACKSON MEMORIAL HOSPITAL,25.79166388,-80.21229713,17RNJ7897252848,180,51.89473253,JACKSON MEMORIAL HOSPITAL - RYDER TRAUMA CENTER - HOLTZ CHILDREN'S HOSPITAL - JACKSON REHAB HOSPITAL,V,2016-05-17,2017-09-06,34,25.79166388,-80.21229713,34
35,34-1S-24-0000-0052-0050,10225068,FORT WALTON BEACH MEDICAL CENTER,1000 MAR WALT DR,FORT WALTON BEACH,32547,OKALOOSA,850-862-1111,HOSPITALS - ACUTE CARE,FT WALTON BEACH MEDICAL CENTER,PRIVATE,PRIVATE,HCA NORTH FLORIDA DIVISION,INVESTOR-OWNED,0,237,FL000188,EFHL,100223, , , ,OTHER COPPER WIRELINE,25 MBPS TO 50 MBPS,1.5 MBPS TO 3 MBPS,OTHER COPPER WIRELINE,25 MBPS TO 50 MBPS,25 MBPS TO 50 MBPS,4,HTTP://FWBMC.COM/HOME/INDEX.DOT,1973,GEOPLAN,FDEM, ,30.4549043,-86.63359202,16REU3517769251,82,24.30733842,FORT WALTON BEACH MEDICAL CENTER,V,2016-05-17,2017-09-06,35,30.4549043,-86.63359202,35
36,17 31 19 03478 001 0011,10224967,BAYFRONT HEALTH ST. PETERSBURG,701 SIXTH ST S,ST PETERSBURG,33701,PINELLAS,727-823-1234,HOSPITALS - ACUTE CARE,CITY OF ST PETERSBURG,MUNICIPAL,PUBLIC,BAYFRONT HEALTH SYSTEM,NOT-FOR-PROFIT,0,480,FL000202,EFHL,100032, , , ,OPTICAL FIBER,10 MBPS TO 25 MBPS,768 KBPS TO 1.5 KBPS,DSL SYMMETRIC,1.5 MBPS TO 3 MBPS,1.5 MBPS TO 3 MBPS,3,HTTP://WWW.BAYFRONT.ORG/,1952,GEOPLAN,FDEM,BAYFRONT HEALTH ST PETERSBURG,27.76279716,-82.64197536,17RLL3819272007,250,25.95032231,BAYFRONT HEALTH ST. PETERSBURG,V,2016-05-17,2017-09-06,36,27.76279716,-82.64197536,36
